RequirementID,Category,Title,DesignRef,CodeRef,TestRef,VerificationMethod,Status
REQ-M130-GCS-PROT-001,Protocol,MAVLink 2 signing,design/SystemArchitecture.md#protocol,src/protocol/,tests/core/ProtocolVersionTest.cc,Test,Pending
REQ-M130-GCS-PROT-002,Protocol,Use m130.xml dialect,design/SystemArchitecture.md#protocol,src/protocol/generated/,tests/core/M130GeneratedCodecTest.cc,Test,Integrated
REQ-M130-GCS-PROT-003,Protocol,Reject mismatched protocol_version,design/SystemArchitecture.md#protocol,src/protocol/ProtocolVersion.cc,tests/core/ProtocolVersionTest.cc,Test,Foundation
REQ-M130-GCS-PROT-004,Protocol,Log every message to FDR,design/SystemArchitecture.md#logging,src/logging/FlightDataRecorder.cc,tests/core/FlightDataRecorderTest.cc,Test,Pending
REQ-M130-GCS-PROT-005,Protocol,Heartbeat loss >1s Caution,design/SystemArchitecture.md#safety,src/safety/Watchdog.cc,tests/core/WatchdogTest.cc,Test,Foundation
REQ-M130-GCS-PROT-006,Protocol,Heartbeat loss >3s Warning,design/SystemArchitecture.md#safety,src/safety/Watchdog.cc,tests/core/WatchdogTest.cc,Test,Foundation
REQ-M130-GCS-PROT-007,Protocol,Heartbeat loss >10s Emergency in BOOST/CRUISE,design/SystemArchitecture.md#safety,src/safety/Watchdog.cc,tests/core/WatchdogTest.cc,Test,Foundation
REQ-M130-GCS-TELE-001,Telemetry,Display all 58 GNC fields,design/SystemArchitecture.md#telemetry,src/RocketTelemetryFactGroup.h,tests/core/M130GeneratedCodecTest.cc,Test,Integrated
REQ-M130-GCS-TELE-002,Telemetry,Fact names match dialect,design/SystemArchitecture.md#telemetry,src/telemetry/M130GncStateFactGroup.cc,tests/core/M130GeneratedCodecTest.cc,Test,Integrated
REQ-M130-GCS-TELE-003,Telemetry,Safety envelope alerts,design/SystemArchitecture.md#safety,src/safety/FlightSafetyEnvelope.cc,tests/core/FlightSafetyEnvelopeTest.cc,Test,Pending
REQ-M130-GCS-TELE-004,Telemetry,Staleness tracking,design/SystemArchitecture.md#telemetry,src/safety/Watchdog.cc,tests/core/WatchdogTest.cc,Test,Foundation
REQ-M130-GCS-TELE-005,Telemetry,Redundant cross-check,design/SystemArchitecture.md#telemetry,src/telemetry/,tests/integration/,Analysis,Pending
REQ-M130-GCS-SAFE-001,Safety,Mission state machine,design/SystemArchitecture.md#safety,src/safety/MissionStateMachine.cc,tests/core/MissionStateMachineTest.cc,Test,Foundation
REQ-M130-GCS-SAFE-002,Safety,Guarded state transitions,design/SystemArchitecture.md#safety,src/safety/MissionStateMachine.cc,tests/core/MissionStateMachineTest.cc,Test,Foundation
REQ-M130-GCS-SAFE-003,Safety,Independent watchdogs,design/SystemArchitecture.md#safety,src/safety/Watchdog.cc,tests/core/WatchdogTest.cc,Test,Foundation
REQ-M130-GCS-SAFE-004,Safety,Master caution/warning/emergency,design/SystemArchitecture.md#ui,src/safety/SafetyKernel.cc,tests/core/SafetyAggregatorTest.cc,Test,Integrated
REQ-M130-GCS-SAFE-005,Safety,ARINC 661 alert levels,design/SystemArchitecture.md#safety,src/safety/AlertManager.cc,tests/core/AlertManagerTest.cc,Test,Foundation
REQ-M130-GCS-SAFE-006,Safety,Alert acknowledgment audit,design/SystemArchitecture.md#safety,src/safety/AlertManager.cc,tests/core/AlertManagerTest.cc,Test,Foundation
REQ-M130-GCS-SAFE-007,Safety,IIP computation,design/SystemArchitecture.md#safety,src/safety/,tests/core/,Analysis,Pending
REQ-M130-GCS-SAFE-008,Safety,Flight corridor visualization,design/SystemArchitecture.md#ui,src/views/rangesafety/,tests/qml/,Demonstration,Pending
REQ-M130-GCS-SAFE-009,Safety,FTS dual authorization,design/SystemArchitecture.md#safety,src/safety/FlightTerminationService.cc,tests/core/FlightTerminationServiceTest.cc,Test,Foundation
REQ-M130-GCS-SAFE-010,Safety,FTS reject non-RSO,design/SystemArchitecture.md#safety,src/safety/FlightTerminationService.cc,tests/core/FlightTerminationServiceTest.cc,Test,Foundation
